"fish_group","rcp","sector","year","value","agg"
"Speckled shrimp","RCP 8.5","Subsistence",1950,897.4213834,"By fish group"
"Stargazers","RCP 2.6","Subsistence",1950,15.85398209,"By fish group"
"Stargazers","RCP 8.5","Subsistence",1950,15.85398209,"By fish group"
"Threadfins","RCP 2.6","Subsistence",1950,1868.522866,"By fish group"
"Threadfins","RCP 8.5","Subsistence",1950,1868.522866,"By fish group"
"Thryssas","RCP 2.6","Subsistence",1950,1279.137558,"By fish group"
"Thryssas","RCP 8.5","Subsistence",1950,1279.137558,"By fish group"
"Toli shad","RCP 2.6","Subsistence",1950,18.35067218,"By fish group"
"Toli shad","RCP 8.5","Subsistence",1950,18.35067218,"By fish group"
"Torpedo scad","RCP 2.6","Subsistence",1950,396.2247178,"By fish group"
"Torpedo scad","RCP 8.5","Subsistence",1950,396.2247178,"By fish group"
"Upeneid goatfishes","RCP 2.6","Subsistence",1950,23.09438336,"By fish group"
"Upeneid goatfishes","RCP 8.5","Subsistence",1950,23.09438336,"By fish group"
"Whitefin wolf-herring","RCP 2.6","Subsistence",1950,431.3032136,"By fish group"
"Whitefin wolf-herring","RCP 8.5","Subsistence",1950,431.3032136,"By fish group"
"Yellowfin seabream","RCP 2.6","Subsistence",1950,188.3752675,"By fish group"
"Yellowfin seabream","RCP 8.5","Subsistence",1950,188.3752675,"By fish group"
"All fish groups","RCP 2.6","All sectors",1950,209877.02838276,"Totals"
"All fish groups","RCP 8.5","All sectors",1950,209877.02838276,"Totals"
"All fish groups","RCP 2.6","Artisanal",1950,28199.9999973,"Totals"
"All fish groups","RCP 8.5","Artisanal",1950,28199.9999973,"Totals"
"All fish groups","RCP 2.6","Industrial",1950,0,"Totals"
"All fish groups","RCP 8.5","Industrial",1950,0,"Totals"
"All fish groups","RCP 2.6","Subsistence",1950,181677.02838546,"Totals"
"All fish groups","RCP 8.5","Subsistence",1950,181677.02838546,"Totals"
"Acetes shrimps","RCP 2.6","All sectors",1950,14100.20263,"By fish group"
"Acetes shrimps","RCP 8.5","All sectors",1950,14100.20263,"By fish group"
"Banana prawn","RCP 2.6","All sectors",1950,438.4811976,"By fish group"
"Banana prawn","RCP 8.5","All sectors",1950,438.4811976,"By fish group"
"Barramundi","RCP 2.6","All sectors",1950,83.1397801,"By fish group"
"Barramundi","RCP 8.5","All sectors",1950,83.1397801,"By fish group"
"Bartail flathead","RCP 2.6","All sectors",1950,382.1184187,"By fish group"
"Bartail flathead","RCP 8.5","All sectors",1950,382.1184187,"By fish group"
"Black pomfret","RCP 2.6","All sectors",1950,417.9459216,"By fish group"
"Black pomfret","RCP 8.5","All sectors",1950,417.9459216,"By fish group"
"Bombay duck","RCP 2.6","All sectors",1950,24304.26732,"By fish group"
"Bombay duck","RCP 8.5","All sectors",1950,24304.26732,"By fish group"
"Chinese silver pomfret","RCP 2.6","All sectors",1950,972.2735395,"By fish group"
"Chinese silver pomfret","RCP 8.5","All sectors",1950,972.2735395,"By fish group"
"Commercial shrimps and prawns","RCP 2.6","All sectors",1950,1061.09329,"By fish group"
"Commercial shrimps and prawns","RCP 8.5","All sectors",1950,1061.09329,"By fish group"
"Cutlassfishes","RCP 2.6","All sectors",1950,5140.930568,"By fish group"
"Cutlassfishes","RCP 8.5","All sectors",1950,5140.930568,"By fish group"
"Drums, croakers","RCP 2.6","All sectors",1950,15400.0399867,"By fish group"
"Drums, croakers","RCP 8.5","All sectors",1950,15400.0399867,"By fish group"
"Fourfinger threadfin","RCP 2.6","All sectors",1950,273.4250155,"By fish group"
"Fourfinger threadfin","RCP 8.5","All sectors",1950,273.4250155,"By fish group"
"Garment anchovies","RCP 2.6","All sectors",1950,2094.098815,"By fish group"
"Garment anchovies","RCP 8.5","All sectors",1950,2094.098815,"By fish group"
"Giant tiger prawn","RCP 2.6","All sectors",1950,555.5646143,"By fish group"
"Giant tiger prawn","RCP 8.5","All sectors",1950,555.5646143,"By fish group"
"Green tiger prawn","RCP 2.6","All sectors",1950,555.5646143,"By fish group"
"Green tiger prawn","RCP 8.5","All sectors",1950,555.5646143,"By fish group"
"Grunters","RCP 2.6","All sectors",1950,237.1855588,"By fish group"
"Grunters","RCP 8.5","All sectors",1950,237.1855588,"By fish group"
"Herrings, sardines, menhadens","RCP 2.6","All sectors",1950,8068.823848,"By fish group"
"Herrings, sardines, menhadens","RCP 8.5","All sectors",1950,8068.823848,"By fish group"
"Hilsa shad","RCP 2.6","All sectors",1950,6251.8469981,"By fish group"
"Hilsa shad","RCP 8.5","All sectors",1950,6251.8469981,"By fish group"
"Indian mackerel","RCP 2.6","All sectors",1950,359.74040127,"By fish group"
"Indian mackerel","RCP 8.5","All sectors",1950,359.74040127,"By fish group"
"Indian white prawn","RCP 2.6","All sectors",1950,438.4811976,"By fish group"
"Indian white prawn","RCP 8.5","All sectors",1950,438.4811976,"By fish group"
"Indo-Pacific king mackerel","RCP 2.6","All sectors",1950,352.5,"By fish group"
"Indo-Pacific king mackerel","RCP 8.5","All sectors",1950,352.5,"By fish group"
"Indo-Pacific prawns","RCP 2.6","All sectors",1950,4826.533669,"By fish group"
"Indo-Pacific prawns","RCP 8.5","All sectors",1950,4826.533669,"By fish group"
"Indo-Pacific swamp crab","RCP 2.6","All sectors",1950,2072.069984,"By fish group"
"Indo-Pacific swamp crab","RCP 8.5","All sectors",1950,2072.069984,"By fish group"
"Jacks, pompanos","RCP 2.6","All sectors",1950,536.78837,"By fish group"
"Jacks, pompanos","RCP 8.5","All sectors",1950,536.78837,"By fish group"
"Jarbua terapon","RCP 2.6","All sectors",1950,2571.465961,"By fish group"
"Jarbua terapon","RCP 8.5","All sectors",1950,2571.465961,"By fish group"
"Johns snapper","RCP 2.6","All sectors",1950,220.3329007,"By fish group"
"Johns snapper","RCP 8.5","All sectors",1950,220.3329007,"By fish group"
"Kuruma prawn","RCP 2.6","All sectors",1950,555.5646143,"By fish group"
"Kuruma prawn","RCP 8.5","All sectors",1950,555.5646143,"By fish group"
"Mullets, grey mullets","RCP 2.6","All sectors",1950,2104.10118,"By fish group"
"Mullets, grey mullets","RCP 8.5","All sectors",1950,2104.10118,"By fish group"
"Narrowbarred Spanish mackerel","RCP 2.6","All sectors",1950,0,"By fish group"
"Narrowbarred Spanish mackerel","RCP 8.5","All sectors",1950,0,"By fish group"
"Others","RCP 2.6","All sectors",1950,94929.74716,"By fish group"
"Others","RCP 8.5","All sectors",1950,94929.74716,"By fish group"
"Scats","RCP 2.6","All sectors",1950,87.50898776,"By fish group"
"Scats","RCP 8.5","All sectors",1950,87.50898776,"By fish group"
"Sea catfishes, coblers","RCP 2.6","All sectors",1950,3718.000142,"By fish group"
"Sea catfishes, coblers","RCP 8.5","All sectors",1950,3718.000142,"By fish group"
"Sepia cuttlefishes","RCP 2.6","All sectors",1950,1125.81998,"By fish group"
"Sepia cuttlefishes","RCP 8.5","All sectors",1950,1125.81998,"By fish group"
"Silver biddies","RCP 2.6","All sectors",1950,379.6217286,"By fish group"
"Silver biddies","RCP 8.5","All sectors",1950,379.6217286,"By fish group"
"Silver pomfret","RCP 2.6","All sectors",1950,3668.5083076,"By fish group"
"Silver pomfret","RCP 8.5","All sectors",1950,3668.5083076,"By fish group"
"Silver sillago","RCP 2.6","All sectors",1950,119.633067,"By fish group"
"Silver sillago","RCP 8.5","All sectors",1950,119.633067,"By fish group"
"Slipmouths, ponyfishes","RCP 2.6","All sectors",1950,1508.500154,"By fish group"
"Slipmouths, ponyfishes","RCP 8.5","All sectors",1950,1508.500154,"By fish group"
"Smelt-whitings","RCP 2.6","All sectors",1950,224.3744178,"By fish group"
"Smelt-whitings","RCP 8.5","All sectors",1950,224.3744178,"By fish group"
"Speckled shrimp","RCP 2.6","All sectors",1950,897.4213834,"By fish group"
"Speckled shrimp","RCP 8.5","All sectors",1950,897.4213834,"By fish group"
"Stargazers","RCP 2.6","All sectors",1950,15.85398209,"By fish group"
"Stargazers","RCP 8.5","All sectors",1950,15.85398209,"By fish group"
"Threadfins","RCP 2.6","All sectors",1950,6436.922866,"By fish group"
"Threadfins","RCP 8.5","All sectors",1950,6436.922866,"By fish group"
"Thryssas","RCP 2.6","All sectors",1950,1333.187558,"By fish group"
"Thryssas","RCP 8.5","All sectors",1950,1333.187558,"By fish group"
"Toli shad","RCP 2.6","All sectors",1950,18.35067218,"By fish group"
"Toli shad","RCP 8.5","All sectors",1950,18.35067218,"By fish group"
"Torpedo scad","RCP 2.6","All sectors",1950,396.2247178,"By fish group"
"Torpedo scad","RCP 8.5","All sectors",1950,396.2247178,"By fish group"
"Upeneid goatfishes","RCP 2.6","All sectors",1950,23.09438336,"By fish group"
"Upeneid goatfishes","RCP 8.5","All sectors",1950,23.09438336,"By fish group"
"Whitefin wolf-herring","RCP 2.6","All sectors",1950,431.3032136,"By fish group"
"Whitefin wolf-herring","RCP 8.5","All sectors",1950,431.3032136,"By fish group"
"Yellowfin seabream","RCP 2.6","All sectors",1950,188.3752675,"By fish group"
"Yellowfin seabream","RCP 8.5","All sectors",1950,188.3752675,"By fish group"
"Acetes shrimps","RCP 2.6","Artisanal",1951,653.3581993,"By fish group"
"Acetes shrimps","RCP 8.5","Artisanal",1951,656.5878428,"By fish group"
"Bombay duck","RCP 2.6","Artisanal",1951,6711.973613,"By fish group"
"Bombay duck","RCP 8.5","Artisanal",1951,6762.578547,"By fish group"
"Drums, croakers","RCP 2.6","Artisanal",1951,266.3661163,"By fish group"
"Drums, croakers","RCP 8.5","Artisanal",1951,267.6828023,"By fish group"
"Fourfinger threadfin","RCP 2.6","Artisanal",1951,0,"By fish group"
"Fourfinger threadfin","RCP 8.5","Artisanal",1951,0,"By fish group"
"Hilsa shad","RCP 2.6","Artisanal",1951,2980.677141,"By fish group"
"Hilsa shad","RCP 8.5","Artisanal",1951,3001.144768,"By fish group"
"Indian mackerel","RCP 2.6","Artisanal",1951,71.34676871,"By fish group"
"Indian mackerel","RCP 8.5","Artisanal",1951,75.642897,"By fish group"
"Indo-Pacific king mackerel","RCP 2.6","Artisanal",1951,380.030584,"By fish group"
"Indo-Pacific king mackerel","RCP 8.5","Artisanal",1951,381.8473888,"By fish group"
"Others","RCP 2.6","Artisanal",1951,4235.900205,"By fish group"
"Others","RCP 8.5","Artisanal",1951,4314.711109,"By fish group"
"Sea catfishes, coblers","RCP 2.6","Artisanal",1951,6300.722743,"By fish group"
"Sea catfishes, coblers","RCP 8.5","Artisanal",1951,6325.989186,"By fish group"
"Silver pomfret","RCP 2.6","Artisanal",1951,6870.60879,"By fish group"
"Silver pomfret","RCP 8.5","Artisanal",1951,6923.604977,"By fish group"
"Threadfins","RCP 2.6","Artisanal",1951,416.2900701,"By fish group"
"Threadfins","RCP 8.5","Artisanal",1951,418.3478518,"By fish group"
"Thryssas","RCP 2.6","Artisanal",1951,28.98154144,"By fish group"
"Thryssas","RCP 8.5","Artisanal",1951,29.51479725,"By fish group"
"Bombay duck","RCP 2.6","Industrial",1951,NA,"By fish group"
"Bombay duck","RCP 8.5","Industrial",1951,NA,"By fish group"
"Indo-Pacific king mackerel","RCP 2.6","Industrial",1951,NA,"By fish group"
"Indo-Pacific king mackerel","RCP 8.5","Industrial",1951,NA,"By fish group"
"Narrowbarred Spanish mackerel","RCP 2.6","Industrial",1951,NA,"By fish group"
"Narrowbarred Spanish mackerel","RCP 8.5","Industrial",1951,NA,"By fish group"
"Others","RCP 2.6","Industrial",1951,NA,"By fish group"
"Others","RCP 8.5","Industrial",1951,NA,"By fish group"
"Sea catfishes, coblers","RCP 2.6","Industrial",1951,NA,"By fish group"
"Sea catfishes, coblers","RCP 8.5","Industrial",1951,NA,"By fish group"
"Silver pomfret","RCP 2.6","Industrial",1951,NA,"By fish group"
"Silver pomfret","RCP 8.5","Industrial",1951,NA,"By fish group"
"Acetes shrimps","RCP 2.6","Subsistence",1951,2146.680718,"By fish group"
"Acetes shrimps","RCP 8.5","Subsistence",1951,2141.129698,"By fish group"
"Banana prawn","RCP 2.6","Subsistence",1951,0.001598616,"By fish group"
"Banana prawn","RCP 8.5","Subsistence",1951,0.001594482,"By fish group"
"Barramundi","RCP 2.6","Subsistence",1951,588.5203649,"By fish group"
"Barramundi","RCP 8.5","Subsistence",1951,603.3971187,"By fish group"
"Bartail flathead","RCP 2.6","Subsistence",1951,536.6222198,"By fish group"
"Bartail flathead","RCP 8.5","Subsistence",1951,535.590144,"By fish group"
"Black pomfret","RCP 2.6","Subsistence",1951,351.9549609,"By fish group"
"Black pomfret","RCP 8.5","Subsistence",1951,353.3027287,"By fish group"
"Bombay duck","RCP 2.6","Subsistence",1951,34368.31569,"By fish group"
"Bombay duck","RCP 8.5","Subsistence",1951,34377.24316,"By fish group"
"Chinese silver pomfret","RCP 2.6","Subsistence",1951,423.3354933,"By fish group"
"Chinese silver pomfret","RCP 8.5","Subsistence",1951,422.1182703,"By fish group"
"Commercial shrimps and prawns","RCP 2.6","Subsistence",1951,507.0080494,"By fish group"
"Commercial shrimps and prawns","RCP 8.5","Subsistence",1951,505.6969967,"By fish group"
"Cutlassfishes","RCP 2.6","Subsistence",1951,2569.739371,"By fish group"
"Cutlassfishes","RCP 8.5","Subsistence",1951,2584.203548,"By fish group"
"Drums, croakers","RCP 2.6","Subsistence",1951,16556.33148,"By fish group"
"Drums, croakers","RCP 8.5","Subsistence",1951,16513.5191,"By fish group"
"Fourfinger threadfin","RCP 2.6","Subsistence",1951,2520.465909,"By fish group"
"Fourfinger threadfin","RCP 8.5","Subsistence",1951,2502.261568,"By fish group"
"Garment anchovies","RCP 2.6","Subsistence",1951,2537.152304,"By fish group"
"Garment anchovies","RCP 8.5","Subsistence",1951,2530.591578,"By fish group"
"Giant tiger prawn","RCP 2.6","Subsistence",1951,49.76633293,"By fish group"
"Giant tiger prawn","RCP 8.5","Subsistence",1951,50.19991772,"By fish group"
"Green tiger prawn","RCP 2.6","Subsistence",1951,213.9681674,"By fish group"
"Green tiger prawn","RCP 8.5","Subsistence",1951,213.025972,"By fish group"
"Grunters","RCP 2.6","Subsistence",1951,239.1694469,"By fish group"
"Grunters","RCP 8.5","Subsistence",1951,238.5509878,"By fish group"
"Herrings, sardines, menhadens","RCP 2.6","Subsistence",1951,7448.038583,"By fish group"
"Herrings, sardines, menhadens","RCP 8.5","Subsistence",1951,7428.778984,"By fish group"
"Hilsa shad","RCP 2.6","Subsistence",1951,352.2444299,"By fish group"
"Hilsa shad","RCP 8.5","Subsistence",1951,352.1045235,"By fish group"
"Indian mackerel","RCP 2.6","Subsistence",1951,4.280824153,"By fish group"
"Indian mackerel","RCP 8.5","Subsistence",1951,4.552826594,"By fish group"
"Indian white prawn","RCP 2.6","Subsistence",1951,115.3873072,"By fish group"
"Indian white prawn","RCP 8.5","Subsistence",1951,115.0160924,"By fish group"
"Indo-Pacific prawns","RCP 2.6","Subsistence",1951,1213.513196,"By fish group"
"Indo-Pacific prawns","RCP 8.5","Subsistence",1951,1210.375218,"By fish group"
"Indo-Pacific swamp crab","RCP 2.6","Subsistence",1951,892.6727742,"By fish group"
"Indo-Pacific swamp crab","RCP 8.5","Subsistence",1951,885.9053432,"By fish group"
"Jacks, pompanos","RCP 2.6","Subsistence",1951,268.3183891,"By fish group"
"Jacks, pompanos","RCP 8.5","Subsistence",1951,269.8286608,"By fish group"
"Jarbua terapon","RCP 2.6","Subsistence",1951,1122.942151,"By fish group"
"Jarbua terapon","RCP 8.5","Subsistence",1951,1124.999664,"By fish group"
"Johns snapper","RCP 2.6","Subsistence",1951,1456.16686,"By fish group"
"Johns snapper","RCP 8.5","Subsistence",1951,1466.693888,"By fish group"
"Kuruma prawn","RCP 2.6","Subsistence",1951,8562.911497,"By fish group"
"Kuruma prawn","RCP 8.5","Subsistence",1951,8538.978926,"By fish group"
"Mullets, grey mullets","RCP 2.6","Subsistence",1951,4324.225699,"By fish group"
"Mullets, grey mullets","RCP 8.5","Subsistence",1951,4313.043849,"By fish group"
"Others","RCP 2.6","Subsistence",1951,40476.86411,"By fish group"
"Others","RCP 8.5","Subsistence",1951,40704.69443,"By fish group"
"Scats","RCP 2.6","Subsistence",1951,35.95945683,"By fish group"
"Scats","RCP 8.5","Subsistence",1951,35.86647065,"By fish group"
"Sea catfishes, coblers","RCP 2.6","Subsistence",1951,16886.72145,"By fish group"
"Sea catfishes, coblers","RCP 8.5","Subsistence",1951,16826.99108,"By fish group"
"Sepia cuttlefishes","RCP 2.6","Subsistence",1951,562.7510213,"By fish group"
"Sepia cuttlefishes","RCP 8.5","Subsistence",1951,565.9185529,"By fish group"
"Silver biddies","RCP 2.6","Subsistence",1951,368.3472258,"By fish group"
"Silver biddies","RCP 8.5","Subsistence",1951,367.3947308,"By fish group"
"Silver pomfret","RCP 2.6","Subsistence",1951,6334.306068,"By fish group"
"Silver pomfret","RCP 8.5","Subsistence",1951,6336.603954,"By fish group"
"Silver sillago","RCP 2.6","Subsistence",1951,45.23732057,"By fish group"
"Silver sillago","RCP 8.5","Subsistence",1951,44.80367356,"By fish group"
"Slipmouths, ponyfishes","RCP 2.6","Subsistence",1951,596.2227744,"By fish group"
"Slipmouths, ponyfishes","RCP 8.5","Subsistence",1951,594.6810247,"By fish group"
"Smelt-whitings","RCP 2.6","Subsistence",1951,84.84357815,"By fish group"
"Smelt-whitings","RCP 8.5","Subsistence",1951,84.62418438,"By fish group"
"Speckled shrimp","RCP 2.6","Subsistence",1951,143.5941658,"By fish group"
"Speckled shrimp","RCP 8.5","Subsistence",1951,145.9103711,"By fish group"
"Stargazers","RCP 2.6","Subsistence",1951,10.98345314,"By fish group"
"Stargazers","RCP 8.5","Subsistence",1951,10.95505145,"By fish group"
"Threadfins","RCP 2.6","Subsistence",1951,1605.184229,"By fish group"
"Threadfins","RCP 8.5","Subsistence",1951,1601.033444,"By fish group"
"Thryssas","RCP 2.6","Subsistence",1951,639.3881612,"By fish group"
"Thryssas","RCP 8.5","Subsistence",1951,642.9870568,"By fish group"
"Toli shad","RCP 2.6","Subsistence",1951,9.298579399,"By fish group"
"Toli shad","RCP 8.5","Subsistence",1951,9.253534319,"By fish group"
"Torpedo scad","RCP 2.6","Subsistence",1951,505.668558,"By fish group"
"Torpedo scad","RCP 8.5","Subsistence",1951,507.0459136,"By fish group"
"Upeneid goatfishes","RCP 2.6","Subsistence",1951,10.11412549,"By fish group"
"Upeneid goatfishes","RCP 8.5","Subsistence",1951,10.08797176,"By fish group"
"Whitefin wolf-herring","RCP 2.6","Subsistence",1951,1761.773086,"By fish group"
"Whitefin wolf-herring","RCP 8.5","Subsistence",1951,1752.730649,"By fish group"
"Yellowfin seabream","RCP 2.6","Subsistence",1951,471.1788839,"By fish group"
"Yellowfin seabream","RCP 8.5","Subsistence",1951,470.8270686,"By fish group"
"All fish groups","RCP 2.6","All sectors",1951,188834.425835528,"Totals"
"All fish groups","RCP 8.5","All sectors",1951,189151.171686465,"Totals"
"All fish groups","RCP 2.6","Artisanal",1951,28916.25577185,"Totals"
"All fish groups","RCP 8.5","Artisanal",1951,29157.65216695,"Totals"
"All fish groups","RCP 2.6","Industrial",1951,0,"Totals"
"All fish groups","RCP 8.5","Industrial",1951,0,"Totals"
"All fish groups","RCP 2.6","Subsistence",1951,159918.170063678,"Totals"
"All fish groups","RCP 8.5","Subsistence",1951,159993.519519515,"Totals"
"Acetes shrimps","RCP 2.6","All sectors",1951,2800.0389173,"By fish group"
